Date,ID,Date,FCO2 µmol m-2 s-1,FCO2 uncertainty µmol m-2 s-1,PAR µmol m-2 s-1,PAR StD µmol m-2 s-1,AirT,Timestamp_rounded,AirRH,PAR,SW_in,SW_out,LW_in,LW_out,NR01_T,Rain_Tot,WS_ms_S_WVT,WindDir_D1_WVT
2018-01-23 19:55:32,AST1P1,23-Jan-2018 19:55:32,3.0874,0.50184,0.0,0.0,9.45,2018-01-23 20:00:00,61.81,509.3,214.612,44.7667,349.2205,357.0098,9.4272,0.2,3.335,244.5
2018-01-23 19:48:17,AST1P1,23-Jan-2018 19:48:17,2.688,0.41692,0.0,0.0,9.45,2018-01-23 20:00:00,61.81,509.3,214.612,44.7667,349.2205,357.0098,9.4272,0.2,3.335,244.5
2018-01-23 19:40:59,AST1P1,23-Jan-2018 19:40:59,2.5286,0.39937,0.0,0.0,9.57,2018-01-23 19:30:00,61.35,827.0,373.6084,75.5403,344.2315,360.7026,9.3961,0.0,4.188,252.5
2018-01-23 19:33:05,AST1P1,23-Jan-2018 19:33:05,-5.5838,0.83838,293.1931,13.7309,9.57,2018-01-23 19:30:00,61.35,827.0,373.6084,75.5403,344.2315,360.7026,9.3961,0.0,4.188,252.5
2018-02-01 18:14:17,AST1P1,01-Feb-2018 18:14:17,4.4245,0.63947,0.53868,1.8647,14.39,2018-02-01 18:00:00,55.91,647.8,246.2489,45.6157,378.5385,391.8427,15.8585,0.0,1.411,246.6
2018-02-01 18:20:59,AST1P1,01-Feb-2018 18:20:59,4.1966,0.63801,2.3984,6.3456,13.56,2018-02-01 18:30:00,60.47,309.9,110.6405,19.655,376.7727,378.7719,14.2177,0.0,1.242,0.0
2018-02-01 18:27:20,AST1P1,01-Feb-2018 18:27:20,-0.62769,0.24817,196.3778,42.7859,13.56,2018-02-01 18:30:00,60.47,309.9,110.6405,19.655,376.7727,378.7719,14.2177,0.0,1.242,0.0
2018-02-01 18:04:26,AST1P1,01-Feb-2018 18:04:26,-1.7256,0.27487,177.3505,30.4371,14.39,2018-02-01 18:00:00,55.91,647.8,246.2489,45.6157,378.5385,391.8427,15.8585,0.0,1.411,246.6
2018-01-23 19:29:10,AST1P1,23-Jan-2018 19:29:10,-6.4129,0.97151,390.9114,15.5099,9.57,2018-01-23 19:30:00,61.35,827.0,373.6084,75.5403,344.2315,360.7026,9.3961,0.0,4.188,252.5
2018-02-01 18:36:29,AST1P1,01-Feb-2018 18:36:29,0.20551,0.036776,109.9919,51.3682,13.56,2018-02-01 18:30:00,60.47,309.9,110.6405,19.655,376.7727,378.7719,14.2177,0.0,1.242,0.0
2018-02-01 17:51:32,AST1P1,01-Feb-2018 17:51:32,-3.5009,0.5062,256.563,42.8866,14.39,2018-02-01 18:00:00,55.91,647.8,246.2489,45.6157,378.5385,391.8427,15.8585,0.0,1.411,246.6
2018-02-01 18:43:05,AST1P1,01-Feb-2018 18:43:05,-1.0137,0.35273,217.3383,29.37,13.56,2018-02-01 18:30:00,60.47,309.9,110.6405,19.655,376.7727,378.7719,14.2177,0.0,1.242,0.0
2018-02-01 18:48:19,AST1P1,01-Feb-2018 18:48:19,-1.7028,0.30047,278.0324,33.9421,14.2,2018-02-01 19:00:00,59.63,415.0,154.3446,29.1082,378.8432,380.581,14.4634,0.0,1.447,294.0
2018-02-01 18:51:11,AST1P1,01-Feb-2018 18:51:11,-2.0054,0.32121,245.7266,40.2984,14.2,2018-02-01 19:00:00,59.63,415.0,154.3446,29.1082,378.8432,380.581,14.4634,0.0,1.447,294.0
2018-02-01 18:55:59,AST1P1,01-Feb-2018 18:55:59,-2.2616,0.32775,298.9166,70.4521,14.2,2018-02-01 19:00:00,59.63,415.0,154.3446,29.1082,378.8432,380.581,14.4634,0.0,1.447,294.0
2018-02-01 19:00:59,AST1P1,01-Feb-2018 19:00:59,-3.5393,0.53211,430.594,44.9916,14.2,2018-02-01 19:00:00,59.63,415.0,154.3446,29.1082,378.8432,380.581,14.4634,0.0,1.447,294.0
2018-02-01 18:07:10,AST1P1,01-Feb-2018 18:07:10,-0.1372,0.031869,102.2589,44.4867,14.39,2018-02-01 18:00:00,55.91,647.8,246.2489,45.6157,378.5385,391.8427,15.8585,0.0,1.411,246.6
2019-01-17 18:57:04,AST1P1,17-Jan-2019 18:57:04,4.5781,0.6851,0.0,0.0,10.22,2019-01-17 19:00:00,72.38,168.9,69.5372,11.77752,348.9114,370.622,11.01488,0.0,2.505,128.1
2019-01-17 18:51:22,AST1P1,17-Jan-2019 18:51:22,2.4807,0.40329,3.8156,6.3848,10.22,2019-01-17 19:00:00,72.38,168.9,69.5372,11.77752,348.9114,370.622,11.01488,0.0,2.505,128.1
2019-01-17 18:41:15,AST1P1,17-Jan-2019 18:41:15,0.18656,0.039141,53.2198,22.6488,10.25,2019-01-17 18:30:00,72.26,268.7,114.0086,19.86405,347.8143,372.4914,11.17995,0.0,4.409,156.4
2018-01-23 20:11:11,AST1P1,23-Jan-2018 20:11:11,-2.2687,0.35592,161.9735,34.4719,9.45,2018-01-23 20:00:00,61.81,509.3,214.612,44.7667,349.2205,357.0098,9.4272,0.2,3.335,244.5
2018-02-01 17:43:59,AST1P1,01-Feb-2018 17:43:59,-3.7079,0.70408,413.3092,14.2931,14.11,2018-02-01 17:30:00,59.41,891.0,351.7124,67.4831,375.5442,392.6537,15.134,0.0,1.551,255.8
2018-02-01 17:56:50,AST1P1,01-Feb-2018 17:56:50,-3.415,0.5066,264.8896,51.9941,14.39,2018-02-01 18:00:00,55.91,647.8,246.2489,45.6157,378.5385,391.8427,15.8585,0.0,1.411,246.6
2018-11-29 13:33:59,AST1P2,29-Nov-2018 13:33:59,-7.3977,1.0063,1369.5573,15.0124,17.95,2018-11-29 13:30:00,44.34,1798.0,826.955,149.8364,317.8756,435.2712,19.11529,0.0,4.508,301.4
2018-11-29 14:14:58,AST1P2,29-Nov-2018 14:14:58,-6.2598,0.87892,570.8184,33.7275,17.98,2018-11-29 14:00:00,45.15,1871.0,869.978,155.652,325.5855,433.9045,19.03533,0.0,7.022,311.9
2018-03-14 16:39:17,AST1P2,14-Mar-2018 16:39:17,1.5758,0.29546,0.0,0.0,7.724,2018-03-14 16:30:00,66.98,678.7,309.1796,66.5788,331.2846,352.4616,8.0083,0.0,4.538,274.0
2019-01-18 15:55:20,AST1P2,18-Jan-2019 15:55:20,3.5622,0.52975,3.8156,9.3464,,2019-01-18 16:00:00,,,,,,,,,,
2019-01-18 16:25:41,AST1P2,18-Jan-2019 16:25:41,-8.7957,1.2412,783.6613,32.1282,,2019-01-18 16:30:00,,,,,,,,,,
2019-01-18 16:32:58,AST1P2,18-Jan-2019 16:32:58,-9.073,1.2483,916.0059,18.351,,2019-01-18 16:30:00,,,,,,,,,,
2018-03-14 18:56:02,AST1P2,14-Mar-2018 18:56:02,-6.6905,0.90477,506.3343,66.8459,9.03,2018-03-14 19:00:00,62.4,1201.0,532.4238,113.3814,294.0683,364.8231,9.8888,0.0,6.191,272.0
